"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"A","4916","1999-11-18","2019-06-05","41","2009-05-14","2019-05-14"
"AA","651","2016-11-01","2019-06-05","10","2017-01-24","2019-04-17"
"AAAP","574","2015-11-11","2018-07-18","0","NULL","NULL"
"AABA","5397","1998-01-02","2019-06-14","14","2014-01-28","2017-04-18"
"AAC","1176","2014-10-02","2019-06-05","21","2014-11-05","2019-04-16"
"AAL","3452","2005-09-27","2019-06-14","22","2014-01-28","2019-04-26"
"AAMC","1629","2012-12-13","2019-06-05","23","2013-05-09","2018-11-07"
"AAME","5397","1998-01-02","2019-06-14","39","2009-05-14","2018-11-13"
"AAN","5390","1998-01-02","2019-06-05","40","2009-08-05","2019-04-25"
"AAOI","1439","2013-09-26","2019-06-14","23","2013-11-07","2019-05-08"
"AAON","5397","1998-01-02","2019-06-14","41","2009-05-06","2019-05-02"
"AAP","4408","2001-11-29","2019-06-05","41","2009-05-20","2019-05-22"
"AAPL","5397","1998-01-02","2019-06-14","40","2009-07-21","2019-04-30"
"AAT","2111","2011-01-13","2019-06-05","33","2011-05-10","2019-04-30"
"AAU","3386","2005-12-20","2019-06-05","30","2011-08-11","2018-11-07"
"AAV","3601","2004-03-31","2018-07-19","0","NULL","NULL"
"AAWW","3421","2005-11-09","2019-06-14","41","2009-05-05","2019-05-01"
"AAXJ","2726","2008-08-15","2019-06-14","0","NULL","NULL"
"AAXN","4533","2001-06-07","2019-06-14","22","2014-02-26","2019-05-09"
"AB","5390","1998-01-02","2019-06-05","40","2009-07-30","2019-04-25"
"ABAC","2205","2010-07-20","2019-04-23","0","NULL","NULL"
"ABAX","5180","1998-01-02","2018-08-03","0","NULL","NULL"
"ABB","4568","2001-04-06","2019-06-05","34","2009-10-30","2019-04-17"
"ABBV","1617","2013-01-02","2019-06-05","25","2013-04-26","2019-04-25"
"ABC","5390","1998-01-02","2019-06-05","40","2009-07-30","2019-05-02"
"ABCB","5397","1998-01-02","2019-06-14","40","2009-07-21","2019-04-23"
"ABCD","2272","2009-12-09","2018-12-18","0","NULL","NULL"
"ABDC","1284","2014-05-09","2019-06-14","19","2014-11-10","2019-05-06"
"ABE","4358","2001-01-02","2018-06-06","0","NULL","NULL"
"ABEO","5397","1998-01-02","2019-06-14","18","2015-05-14","2019-05-10"
"ABEOW","857","2015-06-22","2019-06-11","0","NULL","NULL"
