,TITLE,today,tomorrow
1239,Apple iPhone Air designer concept shows the iPhone 6 we all want,1,1
1245,"Apple iPad Air Specs, Rumors, and Update: Air 2 Release Date as Early as the  ...",1,1
1249,IPhone 6 concept video: Is this what we should expect from Apple?,1,1
1252,Here's A Concept Video For What Apple Could Do With The iPhone 6,1,1
1264,Meet the iPhone Air: An incredibly believable Apple concept (video),1,1
1270,Is This What The New Apple iPhone 6 Will Look Like? (video),1,1
1271,Apple Release Round Up: iPhone 6 and iPad Air 2 Fall Release plus Top Killer  ...,1,1
1616,AT&T's New Mobile Plans; Apple Wins Smartphone Sales; Spritz Speed Reading,1,1
1665,Apple iOS 7.1: All the Cool New Features and Fixes,1,1
1666,Apple Releases iOS 7.1 Update,1,1
1668,"Apple Releases iOS 7.1 With Homescreen Crash Fix, CarPlay Support",1,1
1669,"iOS 7.1 adds manual control of Siri, Apple CarPlay",1,1
1673,"Apple iOS 7.1 update brings Carplay support, faster animation, more",1,1
1675,"Apple releases updated iOS for iPhones, iPads",1,1
1677,Apple Credits 'Evad3rs' Jailbreak Team for Discovering Security Issues Fixed in  ...,1,1
1679,Did Apple's iOS make you physically SICK? Try swallowing version 7.1,1,1
1680,"Apple releases iOS 7.1 update, complete with CarPlay",1,1
1683,"5 things you missed: Apple releases iOS 7.1, Tumblr allows updates by phone  ...",1,1
1684,Apple iOS 7.1 bringing tidings of unknown iPad models,1,1
1685,Apple releases iOS 7.1 with new CarPlay features,1,1
1686,Get Updates: Apple Releases iOS 7.1,1,1
1687,"VIDEO: Apple's IOS 7.1 Lands With CarPlay, Improved Fingerprint Scanner",1,1
1688,Apple won't own the dashboard with CarPlay,1,1
1689,iOS 7.1 vs iOS 7: what's new in Apple's latest OS update?,1,1
1691,Apple rolls out iOS 7.1 update,1,1
1692,Apple iOS 7.1 Update Including CarPlay Available Now,1,1
1700,Apple releases first major update for iOS 7,1,1
1701,Apple releases iOS 7.1 featuring CarPlay,1,1
1703,Everything you need to know about Apple's latest iOS 7 update,1,1
1704,"Apple releases iOS 7.1 with CarPlay, Siri improvements",1,1
1707,"Apple Releases iOS 7.1 With CarPlay, Improved Siri And Touch ID",1,1
1708,Apple iPhone iOS 7.1 Update Released,1,1
1709,Apple releases iOS 7.1,1,1
1710,First Apple TV update for 2014 released,1,1
1711,Jailbreak iOS 7.1 Update: Apple Patches Evasi0n7 Jailbreak,1,1
1712,"Apple releases iOS 7.1 for iPhone, iPad with bug fixes, new features",1,1
1715,"Apple's iOS 7.1 brings animation updates, UI tweaks for Phone, calendar, and  ...",1,1
1716,iOS 7.1: Apple Releases Update to Operating System,1,1
1717,"Apple releases iOS 7.1 for iPhone, iPad and iPod touch with new features, visual  ...",1,1
1719,"Apple releases iOS 7.1, complete with CarPlay support and UI changes",1,1
1723,What's New in Apple iOS 7.1?,1,1
1724,Should I Update To Apple iOS 7.1? What Is New?,1,1
1726,"Apple iOS 7.1 Update intros CarPlay for iPhone, fixes bugs",1,1
1728,Apple releases iOS 7.1 for iPads and iPhones,1,1
1729,Apple Releases iOS 7.1 Update With Bug Fixes and CarPlay Support,1,1
1730,Apple Release Dates 2014: iOS 7.1 Update Supports Mystery iPad Models  ...,1,1
1732,Apple's Just Released iOS 7.1 Supports Two New iPad Models,1,1
