,TITLE,today,tomorrow
1282,New SDK Shows Google Really Wants to Get on Your Body,0,0
1283,SXSW News: Google looks to boost Android's presence in wearable market,0,0
1285,Google to launch Android SDK for wearables in two weeks,0,0
1287,Google tools to allow development of wearable-device apps,0,0
1288,Google plans to release an Android software developer kit for wearables,0,0
1289,"Google Nexus 10 2 release date in 3rd quarter with Android 5.0 – Rumors, News  ...",0,0
1290,Google's Android boss announces SDK specifically geared toward wearables,0,0
1291,SXSW 2014: Google Says It Plans to Release SDK for Android Wearable Tech,0,0
1292,SXSW 2014: Google to release Android tools to aid wearable tech,0,0
1293,"Google's developer plans likely to accelerate production of smart watches, other  ...",0,0
1296,Google to release wearables SDK in few weeks,0,0
1297,Google Looks to Open Android to Flourishing Wearables Market with SDK,0,0
1298,Google to make Chromecast available in 'many more countries' in a few weeks,0,0
1299,Let's talk Android-powered wearables: Google's Sundar Pichai at SXSW,0,0
1300,Google Is Making Apps for Wearables Easier to Build,0,0
1301,Google preparing to launch Chromecast in other regions this month,0,0
1302,Google to Release SDK for Android Smart Wearables in Two Weeks,0,0
1303,Google Glass Android Wearables: Software Development Kit Next in Line For  ...,0,0
1304,Google Will Release Android SDK for Wearables,0,0
1305,Google Is Making It Easier for Developers to Build Android Wearables,0,0
1307,Google's Sundar Pichai On Wearable Tech: 'We Are Just Scratching The Surface',0,0
1309,"In two weeks, Google may have the only OEM-agnostic OS in a market again",0,0
1310,Google Smartwatch Release Date Approaches: Android Boss Sundar Pichai  ...,0,0
1311,Google Pledges to Help Developers With Wearable Devices,0,0
1313,Google to release tools for making wearable computer apps,0,0
1314,Google To Join Internet of Things with Android Platform,0,0
1315,Google Announces New Android Apps,0,0
1317,Google's upcoming wearable SDK hints at a smartwatch,0,0
1318,Google to Soon Release Developer Kit for Wearable Devices & Launch a  ...,0,0
1319,Google to open up wearable IT market with developer SDK release,0,0
1320,Google wants Android to be your wearable OS of choice,0,0
1321,"Android for wearables coming, says Google software boss",0,0
1322,Google to Launch SDK for Wearable Tech Devices Later This Month,0,0
1323,Google SVP says Chromecast sales reached millions,0,0
1325,Google Chromecast on its way to “many more countries” within weeks,0,0
1326,Google Commits To Developer Support For Broad Range Of Wearable Devices  ...,0,0
1328,"Google officially moving into the wearable space, releasing SDK in two weeks",0,0
1329,Google to Offer Developers Tools to Make Apps for New Wearable Computers,0,0
1330,SXSW: Google announces wearables SDK to corner the market Android-style,0,0
1331,"Google has sold 'millions' of Chromecasts, new markets coming soon",0,0
1333,Google Will Release SDK For Wearable Devices,0,0
1334,Google to release SDK to get Android into wearables,0,0
1335,Google ready to unleash a flood of Android smart watches,0,0
1336,Google Wants Wearable Technology Developers To Use Android,0,0
1337,Google commits to Android wearable tech,0,0
1338,Google Chromecast launching in more countries within weeks,0,0
1339,Google's Market in Android Wearables,0,0
1340,Google Shoots For Wearables Dominance With SDK,0,0
1341,"Google: millions of Chromecasts sold, international launch soon",0,0
1342,Google's Wearables SDK is coming in two weeks,0,0
1343,Google Chromecast Set to Go International: Report,0,0
1344,Google to launch SDK for Android wearables in two weeks,0,0
1345,Google Exec Promises Wearables SDK for Developers,0,0
1346,Google's Android Now in Wearables & 4 More Stories You Can't Miss Today,0,0
1347,"Google has sold ""millions"" of Chromecasts, plans to launch in more countries in  ...",0,0
1348,Google releasing Android SDK for wearables this month,0,0
1351,Google offers Android for wearable devices,0,0
1352,Google to launch wearable tech SDK for Android in two weeks,0,0
1353,"Google's Pichai touts wearables SDK, 'APIs for hardware'",0,0
1354,Google to release SDK for Android-powered wearables,0,0
1355,Google releases kit for wearable computers,0,0
1356,Google set to release wearable Android SDK,0,0
1357,Google Inc (GOOG) To Come Up With SDK For Wearable Devices,0,0
1358,Google commits to Android wearable tech devices,0,0
1359,Google share price: US tech giant to release development kit for wearables this  ...,0,0
1360,Google to release Android SDK for wearables in 2 weeks,0,0
1361,Google reveals Android wearables SDK is imminent,0,0
1362,Google SDK for Android Wearables Coming Soon,0,0
1363,Not just for Glasswipes: Google to drop SDK for all Android wearables,0,0
1364,"Google Chromecast Review: Coming To ""Many More Countries"" Soon",0,0
1365,Google Chromecast UK Launch Looms as Wider International Release is Touted,0,0
1366,Google Announces Android SDK For Wearable Technology,0,0
1367,Google's Sundar Pichai on wearable tech: 'We're just scratching the surface',0,0
1368,Google Chromecast UK release coming within weeks,0,0
1369,Google releasing developer SDK for wearables in two weeks,0,0
1370,Google developing SDK to make Android the standard for wearables,0,0
1371,Google Nexus 10 2: Is HTC Or Samsung Behind It?,0,0
1372,Google confirms Android wearable SDK launching this month,0,0
1375,Google preps assault on smartwatch market with new Android SDK for wearables,0,0
