,TITLE,today,tomorrow
946,Respawn: Titanfall's server stability is in Microsoft's azure hands,0,1
953,"'Titanfall' launches Tuesday, Microsoft hopes for boost in Xbox sales",0,1
957,"Microsoft: Titanfall could be a ""game changer"" for Xbox One",0,1
960,Titanfall Xbox One Launch: Microsoft Releases Critically Acclaimed First-Person  ...,0,1
966,Microsoft Xbox One Titanfall Another Non-1080p Title,0,1
967,Microsoft's Walt Whitman store girds for Titanfall landing,0,1
981,Can Microsoft's 'Titanfall' Raise Xbox One Sales?,0,1
990,Microsoft's Xbox Is on Its Last Life,0,1
1001,Insider: Microsoft can't and won't sell Xbox One without Kinect in the near future,0,1
1011,Microsoft places big bet on Titanfall and Xbox One,0,1
1021,Respawn uses Microsoft's Azure cloud servers to make Titanfall smarter,0,1
1029,Microsoft share price: Titanfall seen as a game changer for Xbox One,0,1
1036,"Titanfall is great, but it's probably not the console seller Microsoft is hoping it  ...",0,1
1046,'Make-or-Break' Game for Microsoft's (MSFT) Xbox One Launches Tomorrow,0,1
1053,Titanfall Release Date: Microsoft Banking on Xbox One Exclusive Title to  ...,0,1
1055,Titanfall gives Microsoft and Electronic Arts plenty of sales ammo,0,1
1056,Microsoft Hopes Titan-Sized Game Success Will Reverse Xbox One Fall,0,1
1067,A closer look at Titanfall's not-so-secret weapon: Microsoft's cloud,0,1
1069,Respawn Entertainment's Jon Shiring on Titanfall and using Microsoft's cloud,0,1
1075,Titanfall to Revive Microsoft's Xbox One Sales,0,1
1076,Microsoft Hopes 'Titanfall' will Boost Xbox One Sales,0,1
1084,Space Battles May Hold Key for Microsoft and Xbox One,0,1
5835,Will $15 shills really help Google overtake Microsoft Office?,1,1
5867,Microsoft's hopes 'Titanfall' shows off Xbox One's technology,1,1
5873,"Titanfall on Xbox 360 to offer a 'great experience', says Microsoft",1,1
5884,Xbox Live 0X8004804E error nothing to do with Titanfall says Microsoft,1,1
5886,"Xbox Live having sign-in issues; not related to “Titanfall,” Microsoft says",1,1
5887,Microsoft to bet on Titanfall to ramp up Xbox One sales,1,1
5892,Microsoft counts on Titanfall to fire up Xbox One sales,1,1
5895,Microsoft: Xbox Live Outages 'Not A Titanfall Issue',1,1
5901,Microsoft looks to 'Titanfall' to boost Xbox One,1,1
5914,Xbox One sign-in issues: Microsoft “on the case”,1,1
5917,Space battles may hold the key for Microsoft and Xbox One,1,1
5918,Microsoft's Hometown Brings In Titanfall Right,1,1
5923,Microsoft counts on shooter game 'Titanfall' to fire up Xbox One sales,1,1
5929,Xbox One owners unable to sign in to Xbox LIVE; Microsoft looking into issue,1,1
